Filename,Run Count,Last Run Date
"D:\Program Files\AutoHotkey\v2\AutoHotkey64.exe",2,134214636530213891
"D:\Users\pster\AppData\Local\Temp\528fcb31-e92e-4bf8-b0ef-24e3de5dca71_debugviewpp-1.9.0.28-win64.zip.a71\debugviewpp-1.9.0.28-win64\bin\Debugviewpp.exe",2,134195255882938905
"C:\Program Files\AutoHotkey\v2\AutoHotkey64.exe",1,134214636420602419
"E:\soft_ware\下载\TourBox Lite_QSG.pdf",1,134211325284403719
"D:\Users\pster\Downloads\Downloads\图吧工具箱\新手指引\查看内存品牌.mp4",1,134211280138988658
"D:\Users\pster\Downloads\Downloads\图吧工具箱\tools\硬盘工具\SpaceSniffer\SpaceSniffer.exe",1,134206955127680394
"E:\soft_ware\Raycast Installer.exe",1,134193484378275326
